time,v_1,v_2,i_1
0.28150,5.00000,4.98153,0.00185
0.28200,5.00000,4.98171,0.00183
0.28250,5.00000,4.98189,0.00181
0.28300,5.00000,4.98207,0.00179
0.28350,5.00000,4.98225,0.00178
0.28400,5.00000,4.98242,0.00176
0.28450,5.00000,4.98260,0.00174
0.28500,5.00000,4.98277,0.00172
0.28550,5.00000,4.98294,0.00171
0.28600,5.00000,4.98311,0.00169
0.28650,5.00000,4.98327,0.00167
0.28700,5.00000,4.98344,0.00166
0.28750,5.00000,4.98360,0.00164
0.28800,5.00000,4.98377,0.00162
0.28850,5.00000,4.98393,0.00161
0.28900,5.00000,4.98409,0.00159
0.28950,5.00000,4.98424,0.00158
0.29000,5.00000,4.98440,0.00156
0.29050,5.00000,4.98455,0.00154
0.29100,5.00000,4.98471,0.00153
0.29150,5.00000,4.98486,0.00151
0.29200,5.00000,4.98501,0.00150
0.29250,5.00000,4.98515,0.00148
0.29300,5.00000,4.98530,0.00147
0.29350,5.00000,4.98545,0.00146
0.29400,5.00000,4.98559,0.00144
0.29450,5.00000,4.98573,0.00143
0.29500,5.00000,4.98587,0.00141
0.29550,5.00000,4.98601,0.00140
0.29600,5.00000,4.98615,0.00138
0.29650,5.00000,4.98629,0.00137
0.29700,5.00000,4.98642,0.00136
0.29750,5.00000,4.98656,0.00134
0.29800,5.00000,4.98669,0.00133
0.29850,5.00000,4.98682,0.00132
0.29900,5.00000,4.98695,0.00130
0.29950,5.00000,4.98708,0.00129
0.30000,5.00000,4.98721,0.00128
0.30050,5.00000,4.98734,0.00127
0.30100,5.00000,4.98746,0.00125
0.30150,5.00000,4.98759,0.00124
0.30200,5.00000,4.98771,0.00123
0.30250,5.00000,4.98783,0.00122
0.30300,5.00000,4.98795,0.00120
0.30350,5.00000,4.98807,0.00119
0.30400,5.00000,4.98819,0.00118
0.30450,5.00000,4.98830,0.00117
0.30500,5.00000,4.98842,0.00116
0.30550,5.00000,4.98853,0.00115
0.30600,5.00000,4.98865,0.00114
0.30650,5.00000,4.98876,0.00112
0.30700,5.00000,4.98887,0.00111
0.30750,5.00000,4.98898,0.00110
0.30800,5.00000,4.98909,0.00109
0.30850,5.00000,4.98920,0.00108
0.30900,5.00000,4.98931,0.00107
0.30950,5.00000,4.98941,0.00106
0.31000,5.00000,4.98952,0.00105
0.31050,5.00000,4.98962,0.00104
0.31100,5.00000,4.98972,0.00103
0.31150,5.00000,4.98982,0.00102
0.31200,5.00000,4.98992,0.00101
0.31250,5.00000,4.99002,0.00100
0.31300,5.00000,4.99012,0.00099
0.31350,5.00000,4.99022,0.00098
0.31400,5.00000,4.99032,0.00097
0.31450,5.00000,4.99041,0.00096
0.31500,5.00000,4.99051,0.00095
0.31550,5.00000,4.99060,0.00094
0.31600,5.00000,4.99069,0.00093
0.31650,5.00000,4.99079,0.00092
0.31700,5.00000,4.99088,0.00091
0.31750,5.00000,4.99097,0.00090
0.31800,5.00000,4.99106,0.00089
0.31850,5.00000,4.99115,0.00089
0.31900,5.00000,4.99123,0.00088
0.31950,5.00000,4.99132,0.00087
0.32000,5.00000,4.99141,0.00086
0.32050,5.00000,4.99149,0.00085
0.32100,5.00000,4.99157,0.00084
0.32150,5.00000,4.99166,0.00083
0.32200,5.00000,4.99174,0.00083
0.32250,5.00000,4.99182,0.00082
0.32300,5.00000,4.99190,0.00081
0.32350,5.00000,4.99198,0.00080
0.32400,5.00000,4.99206,0.00079
0.32450,5.00000,4.99214,0.00079
0.32500,5.00000,4.99222,0.00078
0.32550,5.00000,4.99229,0.00077
0.32600,5.00000,4.99237,0.00076
0.32650,5.00000,4.99245,0.00076
0.32700,5.00000,4.99252,0.00075
0.32750,5.00000,4.99259,0.00074
0.32800,5.00000,4.99267,0.00073
0.32850,5.00000,4.99274,0.00073
0.32900,5.00000,4.99281,0.00072
0.32950,5.00000,4.99288,0.00071
0.33000,5.00000,4.99295,0.00070
0.33050,5.00000,4.99302,0.00070
0.33100,5.00000,4.99309,0.00069
0.33150,5.00000,4.99316,0.00068
0.33200,5.00000,4.99323,0.00068
0.33250,5.00000,4.99329,0.00067
0.33300,5.00000,4.99336,0.00066
0.33350,5.00000,4.99342,0.00066
0.33400,5.00000,4.99349,0.00065
0.33450,5.00000,4.99355,0.00064
0.33500,5.00000,4.99362,0.00064
0.33550,5.00000,4.99368,0.00063
0.33600,5.00000,4.99374,0.00063
0.33650,5.00000,4.99380,0.00062
0.33700,5.00000,4.99387,0.00061
0.33750,5.00000,4.99393,0.00061
0.33800,5.00000,4.99399,0.00060
0.33850,5.00000,4.99405,0.00060
0.33900,5.00000,4.99410,0.00059
0.33950,5.00000,4.99416,0.00058
0.34000,5.00000,4.99422,0.00058
0.34050,5.00000,4.99428,0.00057
0.34100,5.00000,4.99433,0.00057
0.34150,5.00000,4.99439,0.00056
0.34200,5.00000,4.99444,0.00056
0.34250,5.00000,4.99450,0.00055
0.34300,5.00000,4.99455,0.00054
0.34350,5.00000,4.99461,0.00054
0.34400,5.00000,4.99466,0.00053
0.34450,5.00000,4.99471,0.00053
0.34500,5.00000,4.99476,0.00052
0.34550,5.00000,4.99482,0.00052
0.34600,5.00000,4.99487,0.00051
0.34650,5.00000,4.99492,0.00051
0.34700,5.00000,4.99497,0.00050
