time,v_1,v_2,i_1,res,pres,pcap,ptot
0.00286,52.00000,0.14970,1.67259,51.85030,86.72430,0.25039,86.97469
0.00287,52.00000,0.15022,1.67257,51.84977,86.72255,0.25126,86.97381
0.00288,52.00000,0.15075,1.67256,51.84925,86.72080,0.25213,86.97294
0.00289,52.00000,0.15127,1.67254,51.84873,86.71905,0.25301,86.97206
0.00290,52.00000,0.15179,1.67252,51.84821,86.71730,0.25388,86.97118
0.00291,52.00000,0.15232,1.67251,51.84768,86.71556,0.25475,86.97031
0.00292,52.00000,0.15284,1.67249,51.84716,86.71381,0.25562,86.96943
0.00293,52.00000,0.15336,1.67247,51.84664,86.71206,0.25649,86.96855
0.00294,52.00000,0.15388,1.67246,51.84612,86.71031,0.25736,86.96768
0.00295,52.00000,0.15441,1.67244,51.84559,86.70856,0.25823,86.96680
0.00296,52.00000,0.15493,1.67242,51.84507,86.70682,0.25911,86.96592
0.00297,52.00000,0.15545,1.67240,51.84455,86.70507,0.25998,86.96505
0.00298,52.00000,0.15597,1.67239,51.84402,86.70332,0.26085,86.96417
0.00299,52.00000,0.15650,1.67237,51.84350,86.70157,0.26172,86.96329
0.00300,52.00000,0.15702,1.67235,51.84298,86.69982,0.26259,86.96242
0.00301,52.00000,0.15754,1.67234,51.84246,86.69808,0.26346,86.96154
0.00302,52.00000,0.15806,1.67232,51.84193,86.69633,0.26433,86.96066
0.00303,52.00000,0.15859,1.67230,51.84141,86.69458,0.26521,86.95979
0.00304,52.00000,0.15911,1.67229,51.84089,86.69283,0.26608,86.95891
0.00305,52.00000,0.15963,1.67227,51.84037,86.69108,0.26695,86.95803
0.00306,52.00000,0.16015,1.67225,51.83984,86.68934,0.26782,86.95716
0.00307,52.00000,0.16068,1.67224,51.83932,86.68759,0.26869,86.95628
0.00308,52.00000,0.16120,1.67222,51.83880,86.68584,0.26956,86.95540
0.00309,52.00000,0.16172,1.67220,51.83828,86.68409,0.27043,86.95453
0.00310,52.00000,0.16225,1.67219,51.83775,86.68234,0.27130,86.95365
0.00311,52.00000,0.16277,1.67217,51.83723,86.68060,0.27217,86.95277
0.00312,52.00000,0.16329,1.67215,51.83671,86.67885,0.27305,86.95190
0.00313,52.00000,0.16381,1.67214,51.83619,86.67711,0.27392,86.95103
0.00314,52.00000,0.16434,1.67212,51.83567,86.67537,0.27479,86.95015
0.00315,52.00000,0.16486,1.67210,51.83514,86.67362,0.27566,86.94927
0.00316,52.00000,0.16538,1.67208,51.83462,86.67187,0.27653,86.94840
0.00317,52.00000,0.16590,1.67207,51.83410,86.67012,0.27740,86.94752
0.00318,52.00000,0.16643,1.67205,51.83358,86.66837,0.27827,86.94664
0.00319,52.00000,0.16695,1.67203,51.83305,86.66663,0.27914,86.94577
0.00320,52.00000,0.16747,1.67202,51.83253,86.66488,0.28001,86.94489
0.00321,52.00000,0.16799,1.67200,51.83201,86.66313,0.28088,86.94401
0.00322,52.00000,0.16852,1.67198,51.83149,86.66138,0.28175,86.94314
0.00323,52.00000,0.16904,1.67197,51.83096,86.65964,0.28263,86.94226
0.00324,52.00000,0.16956,1.67195,51.83044,86.65789,0.28350,86.94138
0.00325,52.00000,0.17008,1.67193,51.82992,86.65614,0.28437,86.94051
0.00326,52.00000,0.17061,1.67192,51.82940,86.65439,0.28524,86.93963
0.00327,52.00000,0.17113,1.67190,51.82887,86.65265,0.28611,86.93875
0.00328,52.00000,0.17165,1.67188,51.82835,86.65090,0.28698,86.93788
0.00329,52.00000,0.17217,1.67187,51.82783,86.64915,0.28785,86.93700
0.00330,52.00000,0.17270,1.67185,51.82730,86.64740,0.28872,86.93612
0.00331,52.00000,0.17322,1.67183,51.82678,86.64566,0.28959,86.93525
0.00332,52.00000,0.17374,1.67181,51.82626,86.64391,0.29046,86.93437
0.00333,52.00000,0.17426,1.67180,51.82574,86.64216,0.29133,86.93349
0.00334,52.00000,0.17478,1.67178,51.82521,86.64041,0.29220,86.93262
0.00335,52.00000,0.17531,1.67176,51.82469,86.63867,0.29307,86.93174
0.00336,52.00000,0.17583,1.67175,51.82417,86.63692,0.29394,86.93086
0.00337,52.00000,0.17635,1.67173,51.82365,86.63517,0.29481,86.92999
0.00338,52.00000,0.17687,1.67171,51.82312,86.63342,0.29568,86.92911
